season,stateoc,agecat,osh,rcu,pi
1,NE,4,1,437,31
1,NE,5,0,1844,436
1,NE,5,1,3907,358
1,NH,1,0,2,1
1,NH,1,1,1,1
1,NH,2,0,2,0
1,NH,2,1,0,0
1,NH,3,0,53,12
1,NH,3,1,72,5
1,NH,4,0,199,40
1,NH,4,1,298,18
1,NH,5,0,1137,270
1,NH,5,1,2375,236
1,NJ,1,0,23,1
1,NJ,1,1,22,8
1,NJ,2,0,18,6
1,NJ,2,1,16,1
1,NJ,3,0,557,126
1,NJ,3,1,656,33
1,NJ,4,0,1631,246
1,NJ,4,1,2046,60
1,NJ,5,0,9233,1632
1,NJ,5,1,15596,919
1,NM,1,0,5,2
1,NM,1,1,6,3
1,NM,2,0,5,0
1,NM,2,1,8,3
1,NM,3,0,100,26
1,NM,3,1,182,28
1,NM,4,0,364,89
1,NM,4,1,560,51
1,NM,5,0,1291,358
1,NM,5,1,3436,339
1,NV,1,0,32,2
1,NV,1,1,3,2
1,NV,2,0,8,0
1,NV,2,1,11,2
1,NV,3,0,294,65
1,NV,3,1,279,23
1,NV,4,0,712,119
1,NV,4,1,830,19
1,NV,5,0,2317,522
1,NV,5,1,3361,133
1,NY,1,0,105,10
1,NY,1,1,54,13
1,NY,2,0,57,17
1,NY,2,1,39,7
1,NY,3,0,1461,279
1,NY,3,1,1658,96
1,NY,4,0,4540,759
1,NY,4,1,4813,188
1,NY,5,0,24740,5426
1,NY,5,1,31925,2015
1,OH,1,0,90,15
1,OH,1,1,39,10
1,OH,2,0,24,3
1,OH,2,1,32,7
1,OH,3,0,907,219
1,OH,3,1,1321,116
1,OH,4,0,2699,545
1,OH,4,1,4361,186
1,OH,5,0,11434,2461
1,OH,5,1,25685,2386
1,OK,1,0,40,2
1,OK,1,1,4,1
1,OK,2,0,4,3
1,OK,2,1,6,0
1,OK,3,0,311,81
1,OK,3,1,449,25
1,OK,4,0,1045,204
1,OK,4,1,1410,56
1,OK,5,0,4457,1157
1,OK,5,1,7254,481
1,OR,1,0,18,2
1,OR,1,1,9,5
1,OR,2,0,8,4
1,OR,2,1,9,1
1,OR,3,0,163,34
1,OR,3,1,235,15
1,OR,4,0,662,102
1,OR,4,1,966,47
1,OR,5,0,2813,522
1,OR,5,1,7327,585
1,PA,1,0,80,5
1,PA,1,1,41,15
1,PA,2,0,29,9
1,PA,2,1,18,8
1,PA,3,0,796,163
1,PA,3,1,1067,46
1,PA,4,0,2792,441
1,PA,4,1,3609,145
1,PA,5,0,14952,3031
1,PA,5,1,28351,1993
1,RI,1,0,4,0
1,RI,1,1,0,0
1,RI,2,0,2,0
1,RI,2,1,2,0
1,RI,3,0,61,11
1,RI,3,1,93,4
1,RI,4,0,231,47
1,RI,4,1,291,18
1,RI,5,0,1292,295
1,RI,5,1,2384,270
1,SC,1,0,37,2
1,SC,1,1,22,4
1,SC,2,0,14,2
1,SC,2,1,12,2
1,SC,3,0,378,61
1,SC,3,1,647,40
1,SC,4,0,1221,218
1,SC,4,1,1743,74
1,SC,5,0,4378,1038
1,SC,5,1,7720,633
1,SD,1,0,6,1
1,SD,1,1,4,1
1,SD,2,0,4,4
1,SD,2,1,1,0
1,SD,3,0,36,9
1,SD,3,1,72,9
1,SD,4,0,129,26
1,SD,4,1,235,17
1,SD,5,0,830,192
1,SD,5,1,1654,240
1,TN,1,0,54,2
1,TN,1,1,18,5
1,TN,2,0,27,3
1,TN,2,1,20,4
1,TN,3,0,647,131
1,TN,3,1,873,46
1,TN,4,0,2018,409
1,TN,4,1,2515,93
1,TN,5,0,7862,1886
1,TN,5,1,11393,1004
1,TX,1,0,208,26
1,TX,1,1,75,18
1,TX,2,0,89,13
1,TX,2,1,56,6
1,TX,3,0,1849,349
1,TX,3,1,2126,133
1,TX,4,0,5620,1082
1,TX,4,1,6376,286
1,TX,5,0,20062,4667
1,TX,5,1,31728,2199
1,UT,1,0,23,3
1,UT,1,1,11,2
1,UT,2,0,8,2
1,UT,2,1,10,2
1,UT,3,0,133,24
1,UT,3,1,182,24
1,UT,4,0,320,55
1,UT,4,1,461,37
