year,age,pop
2012,4,4111444
2012,5,4131048
2012,6,4096654
2012,7,4084201
2012,8,4092669
2012,9,4062842
2012,10,4045601
2012,11,4145939
2012,12,4208003
2012,13,4136655
2012,14,4135424
2012,15,4143882
2012,16,4174315
2012,17,4267964
2012,18,4359020
2012,19,4427917
2012,20,4546920
2012,21,4630398
2012,22,4626348
2012,23,4444658
2012,24,4343285
2012,25,4272877
2012,26,4297039
2012,27,4338729
2012,28,4206443
2012,29,4279311
2012,30,4285186
2012,31,4243591
2012,32,4333504
2012,33,4067769
2012,34,3990632
2012,35,3953998
2012,36,3840281
2012,37,3963305
2012,38,3842912
2012,39,3906612
2012,40,4087369
2012,41,4327314
2012,42,4386985
2012,43,4161015
2012,44,4078611
2012,45,4087295
2012,46,4168182
2012,47,4424250
2012,48,4511059
2012,49,4512793
2012,50,4508304
2012,51,4568158
2012,52,4611354
2012,53,4461212
2012,54,4439455
2012,55,4394770
2012,56,4241425
2012,57,4209314
2012,58,4041657
2012,59,3893007
2012,60,3746688
2012,61,3636530
2012,62,3556423
2012,63,3455685
2012,64,3424934
2012,65,3573951
2012,66,2643322
2012,67,2611346
2012,68,2548173
2012,69,2611661
2012,70,2281747
2012,71,2089893
2012,72,1981539
2012,73,1869214
2012,74,1794560
2012,75,1659192
2012,76,1589512
2012,77,1529055
2012,78,1378369
2012,79,1338237
2012,80,1283536
2012,81,1228264
2012,82,1183647
2012,83,1073832
2012,84,1011161
2012,85+,5878177
2012,,313993272
2013,0,3931208
2013,1,3942441
2013,2,3991295
2013,3,3990699
2013,4,3992298
2013,5,4121794
2013,6,4141144
2013,7,4106863
2013,8,4094674
2013,9,4103296
2013,10,4073237
2013,11,4056173
2013,12,4156759
2013,13,4219019
2013,14,4148560
2013,15,4149009
2013,16,4160427
2013,17,4195438
2013,18,4293061
2013,19,4385466
2013,20,4453700
2013,21,4574494
2013,22,4661047
2013,23,4656683
2013,24,4473760
2013,25,4371120
2013,26,4299622
2013,27,4322526
2013,28,4361578
2013,29,4228116
2013,30,4299431
2013,31,4302255
2013,32,4258685
2013,33,4346508
2013,34,4078962
2013,35,4000897
2013,36,3962434
2013,37,3847788
2013,38,3969573
2013,39,3848177
2013,40,3910240
2013,41,4089720
2013,42,4327551
2013,43,4385208
2013,44,4158497
2013,45,4074594
2013,46,4081816
2013,47,4161224
2013,48,4414834
2013,49,4499442
2013,50,4498950
2013,51,4491995
2013,52,4549602
2013,53,4591335
2013,54,4439894
2013,55,4415993
2013,56,4369037
2013,57,4214850
2013,58,4181182
2013,59,4012567
2013,60,3862888
2013,61,3715444
2013,62,3603852
2013,63,3521985
2013,64,3418893
2013,65,3385678
2013,66,3530144
2013,67,2608170
2013,68,2573554
2013,69,2507086
2013,70,2565768
2013,71,2238309
2013,72,2046427
2013,73,1936203
2013,74,1821988
2013,75,1744755
2013,76,1608437
2013,77,1535801
2013,78,1471959
2013,79,1321224
2013,80,1277082
2013,81,1218481
2013,82,1159174
2013,83,1109606
2013,84,998639
2013,85+,6014210
2013,,316234505
2014,0,3954725
2014,1,3948689
2014,2,3958296
2014,3,4005424
2014,4,4003684
2014,5,4004373
2014,6,4133300
2014,7,4152751
2014,8,4118570
2014,9,4106389
2014,10,4115033
2014,11,4085016
2014,12,4067899
2014,13,4169022
2014,14,4232526
2014,15,4164225
2014,16,4167605
2014,17,4183519
2014,18,4222786
2014,19,4322239
2014,20,4412489
2014,21,4482033
2014,22,4605757
2014,23,4694117
2014,24,4688618
2014,25,4503882
2014,26,4400262
2014,27,4328101
2014,28,4348951
2014,29,4386181
2014,30,4251419
2014,31,4319291
2014,32,4319429
2014,33,4273924
2014,34,4359882
2014,35,4090363
2014,36,4010887
2014,37,3971081
2014,38,3855833
2014,39,3976512
2014,40,3853387
2014,41,3913779
2014,42,4091708
2014,43,4327303
2014,44,4383470
2014,45,4155383
2014,46,4070035
2014,47,4076200
2014,48,4153395
2014,49,4404466
2014,50,4486472
2014,51,4483424
2014,52,4474669
2014,53,4530188
2014,54,4569843
2014,55,4416633
2014,56,4390423
2014,57,4341770
2014,58,4186598
