,season,state,ag,rcu,pi,osh
358,4,TN,3,1434,85,1
359,4,MI,3,934,197,0
360,4,MI,3,1490,103,1
361,4,CA,4,12006,2347,0
362,4,CA,4,16303,713,1
363,4,GA,4,3846,642,0
364,4,GA,4,6303,192,1
365,4,OR,4,1030,189,0
366,4,OR,4,1815,71,1
367,4,CT,4,1180,166,0
368,4,CT,4,1378,32,1
369,4,CO,4,1134,203,0
370,4,CO,4,2234,120,1
371,4,NM,4,564,142,0
372,4,NM,4,1041,85,1
373,4,NY,4,7211,1275,0
374,4,NY,4,8143,295,1
375,4,MN,4,1216,200,0
376,4,MN,4,1911,107,1
377,4,TN,4,3539,754,0
378,4,TN,4,4792,167,1
379,4,MI,4,3473,662,0
380,4,MI,4,5785,175,1
381,4,CA,5,45578,11029,0
382,4,CA,5,97128,5654,1
383,4,GA,5,11006,2160,0
384,4,GA,5,24918,1272,1
385,4,OR,5,4455,844,0
386,4,OR,5,12830,774,1
387,4,CT,5,6459,1169,0
388,4,CT,5,11275,753,1
389,4,CO,5,3968,795,0
390,4,CO,5,12918,1036,1
391,4,NM,5,1980,511,0
392,4,NM,5,5811,423,1
393,4,NY,5,35586,7553,0
394,4,NY,5,52801,2818,1
395,4,MN,5,5678,979,0
396,4,MN,5,15373,1161,1
397,4,TN,5,12219,2917,0
398,4,TN,5,20462,1435,1
399,4,MI,5,15944,3251,0
400,4,MI,5,31865,1747,1
401,5,CA,1,389,43,0
402,5,CA,1,137,25,1
403,5,GA,1,121,11,0
404,5,GA,1,57,16,1
405,5,OR,1,18,0,0
406,5,OR,1,16,5,1
407,5,CT,1,19,1,0
408,5,CT,1,9,0,1
409,5,CO,1,44,8,0
410,5,CO,1,17,5,1
411,5,NM,1,10,2,0
412,5,NM,1,11,4,1
413,5,NY,1,191,20,0
414,5,NY,1,89,19,1
415,5,MN,1,54,6,0
416,5,MN,1,24,10,1
417,5,TN,1,111,15,0
418,5,TN,1,37,12,1
419,5,MI,1,84,8,0
420,5,MI,1,36,9,1
421,5,CA,2,190,26,0
422,5,CA,2,155,23,1
423,5,GA,2,66,6,0
424,5,GA,2,54,5,1
425,5,OR,2,8,1,0
426,5,OR,2,22,0,1
427,5,CT,2,11,0,0
428,5,CT,2,6,0,1
429,5,CO,2,29,5,0
430,5,CO,2,19,6,1
431,5,NM,2,9,2,0
432,5,NM,2,6,0,1
433,5,NY,2,94,10,0
434,5,NY,2,67,9,1
435,5,MN,2,28,7,0
436,5,MN,2,21,3,1
437,5,TN,2,59,10,0
438,5,TN,2,23,6,1
439,5,MI,2,31,5,0
440,5,MI,2,30,7,1
441,5,CA,3,4068,686,0
442,5,CA,3,4770,261,1
443,5,GA,3,1312,186,0
444,5,GA,3,1876,83,1
445,5,OR,3,293,43,0
446,5,OR,3,424,25,1
447,5,CT,3,292,46,0
448,5,CT,3,377,14,1
449,5,CO,3,371,55,0
450,5,CO,3,754,73,1
451,5,NM,3,193,55,0
452,5,NM,3,311,38,1
453,5,NY,3,2004,324,0
454,5,NY,3,2440,119,1
455,5,MN,3,374,70,0
456,5,MN,3,575,30,1
457,5,TN,3,1116,188,0
458,5,TN,3,1472,63,1
459,5,MI,3,962,187,0
460,5,MI,3,1564,97,1
461,5,CA,4,12463,2140,0
462,5,CA,4,16689,579,1
463,5,GA,4,3887,595,0
464,5,GA,4,6517,218,1
465,5,OR,4,1102,161,0
466,5,OR,4,1861,67,1
467,5,CT,4,1129,166,0
468,5,CT,4,1437,27,1
469,5,CO,4,1152,197,0
470,5,CO,4,2436,130,1
471,5,NM,4,503,104,0
472,5,NM,4,990,57,1
473,5,NY,4,7397,1206,0
474,5,NY,4,8547,274,1
475,5,MN,4,1273,208,0
476,5,MN,4,2095,112,1
477,5,TN,4,3647,704,0
478,5,TN,4,5207,168,1
479,5,MI,4,3645,650,0
480,5,MI,4,6056,226,1
481,5,CA,5,49317,11687,0
482,5,CA,5,102673,5499,1
483,5,GA,5,11737,2324,0
484,5,GA,5,27358,1440,1
485,5,OR,5,4992,982,0
486,5,OR,5,13529,799,1
487,5,CT,5,6498,1286,0
488,5,CT,5,11985,781,1
489,5,CO,5,4231,840,0
490,5,CO,5,14484,1198,1
491,5,NM,5,1994,535,0
492,5,NM,5,6109,482,1
493,5,NY,5,37010,8093,0
494,5,NY,5,57691,3173,1
495,5,MN,5,6251,1288,0
496,5,MN,5,16941,1405,1
497,5,TN,5,13081,3179,0
498,5,TN,5,22136,1652,1
499,5,MI,5,16684,3560,0
500,5,MI,5,33957,1979,1
501,6,CA,1,384,32,0
502,6,CA,1,142,30,1
503,6,GA,1,136,9,0
504,6,GA,1,53,15,1
505,6,OR,1,23,3,0
506,6,OR,1,9,1,1
507,6,CT,1,20,0,0
508,6,CT,1,14,2,1
509,6,CO,1,44,4,0
510,6,CO,1,16,4,1
511,6,NM,1,9,3,0
512,6,NM,1,12,4,1
513,6,NY,1,162,16,0
514,6,NY,1,78,12,1
515,6,MN,1,59,9,0
516,6,MN,1,27,8,1
517,6,TN,1,91,7,0
518,6,TN,1,37,10,1
519,6,MI,1,84,3,0
520,6,MI,1,62,19,1
521,6,CA,2,212,30,0
522,6,CA,2,136,21,1
523,6,GA,2,64,6,0
524,6,GA,2,51,5,1
525,6,OR,2,20,1,0
526,6,OR,2,12,0,1
527,6,CT,2,5,1,0
528,6,CT,2,7,2,1
529,6,CO,2,25,4,0
530,6,CO,2,16,1,1
531,6,NM,2,5,0,0
532,6,NM,2,5,2,1
533,6,NY,2,65,9,0
534,6,NY,2,61,7,1
535,6,MN,2,27,5,0
536,6,MN,2,14,3,1
537,6,TN,2,48,9,0
538,6,TN,2,18,2,1
539,6,MI,2,41,6,0
540,6,MI,2,38,10,1
541,6,CA,3,4214,718,0
542,6,CA,3,4706,234,1
543,6,GA,3,1406,201,0
544,6,GA,3,1968,70,1
545,6,OR,3,295,50,0
546,6,OR,3,391,17,1
547,6,CT,3,329,45,0
548,6,CT,3,343,7,1
549,6,CO,3,472,64,0
550,6,CO,3,803,44,1
551,6,NM,3,203,58,0
552,6,NM,3,288,34,1
553,6,NY,3,1993,371,0
554,6,NY,3,2289,97,1
555,6,MN,3,383,58,0
556,6,MN,3,554,31,1
557,6,TN,3,1140,206,0
558,6,TN,3,1441,76,1
559,6,MI,3,936,189,0
560,6,MI,3,1477,113,1
561,6,CA,4,12795,2319,0
562,6,CA,4,16711,626,1
563,6,GA,4,4062,636,0
564,6,GA,4,6555,168,1
565,6,OR,4,1139,185,0
566,6,OR,4,1911,55,1
567,6,CT,4,1129,185,0
568,6,CT,4,1404,45,1
569,6,CO,4,1218,209,0
570,6,CO,4,2598,130,1
571,6,NM,4,506,113,0
572,6,NM,4,1068,65,1
573,6,NY,4,7081,1238,0
574,6,NY,4,8442,267,1
575,6,MN,4,1297,230,0
576,6,MN,4,2101,107,1
577,6,TN,4,3674,767,0
578,6,TN,4,4925,167,1
579,6,MI,4,3603,660,0
580,6,MI,4,5965,215,1
581,6,CA,5,49473,11369,0
582,6,CA,5,102092,4878,1
583,6,GA,5,11544,2200,0
584,6,GA,5,26911,1230,1
585,6,OR,5,4790,871,0
586,6,OR,5,13651,677,1
587,6,CT,5,6170,1127,0
588,6,CT,5,11461,578,1
589,6,CO,5,4039,771,0
590,6,CO,5,14747,949,1
591,6,NM,5,2071,550,0
592,6,NM,5,6121,412,1
593,6,NY,5,34748,7103,0
594,6,NY,5,54673,2582,1
595,6,MN,5,6015,1119,0
596,6,MN,5,16341,1180,1
597,6,TN,5,12492,2813,0
598,6,TN,5,21495,1290,1
599,6,MI,5,15653,3028,0
600,6,MI,5,33220,1617,1
