"dvd" "agcat" "allcause" "flu" "pneum" "AH3" "AH1" "B" "pop"
"66" 201201 1 640 0 14 0.000195136316047691 2.58854296797957e-05 2.89864584560638e-05 73798625.078545
"67" 201202 1 669 2 18 0.000183854448946651 3.24449027552913e-05 6.97739844199813e-06 73794596.8032328
"68" 201203 1 702 2 31 0.000242389034026749 5.57365158457231e-05 1.88687056881312e-05 73790582.7973885
"69" 201204 1 690 2 25 0.000384776826329572 0.000106624903681689 5.34132315229632e-05 73786583.7658207
"70" 201205 1 725 2 27 0.000574720097961538 0.000163497958902851 8.44727129745321e-05 73782600.4133381
"71" 201206 1 760 2 23 0.000644008289365414 0.000231516904025035 6.45879241025741e-05 73778633.4447494
"72" 201207 1 742 0 36 0.000905854719724637 0.000340404696347463 0.00010986308902013 73774683.5648632
"73" 201208 1 685 6 14 0.00129867098384963 0.000459529732746791 0.000105703449895576 73770751.4784882
"74" 201209 1 720 4 30 0.00153190964586179 0.000583741673450026 0.000164770351971325 73766837.890433
"75" 201210 1 718 1 26 0.00181949382799639 0.000608045131294712 0.000205487515922776 73762943.5055063
"76" 201211 1 707 1 17 0.00191757022858292 0.00071706840731683 0.000329793021934005 73759069.0285167
"77" 201212 1 709 4 14 0.00136996890895675 0.000503665040057629 0.000361990101061812 73755215.1642729
"78" 201213 1 738 3 19 0.0010463929723418 0.000364652096422143 0.000413427217599627 73751382.6175836
"79" 201214 1 729 0 17 0.00093778394653476 0.000342034213376548 0.000509348285304752 73747572.0932574
"80" 201215 1 717 0 19 0.000715255708480495 0.000200702637596222 0.000439660006116824 73743784.296103
"81" 201216 1 723 2 16 0.000643033982757324 0.000115895659683006 0.000468750661507263 73740019.930929
"82" 201217 1 750 2 15 0.000532741920806159 9.28632705992388e-05 0.000464366740012254 73736279.7025442
"83" 201218 1 655 1 16 0.000460843269771175 7.32789651579606e-05 0.000359869590909701 73732564.315757
"84" 201219 1 714 0 15 0.000421513426415762 4.17536884657123e-05 0.000427323976657912 73728874.4753763
"85" 201220 1 681 0 14 0.000295093744831158 3.78836564310271e-05 0.000517519093527975 73725210.8862106
"86" 201221 1 793 0 16 0.000270582768653233 3.97915836254754e-05 0.000497394795318443 73721574.2530687
"87" 201222 1 741 2 16 0.000311425044417286 1.00459691747512e-05 0.000629730889639197 73717965.2807591
"88" 201223 1 766 1 19 0.000179392083861705 1.66876357080656e-05 0.000531593906389156 73714384.6740906
"89" 201224 1 687 0 14 0.000227109568999099 9.46289870829578e-06 0.000532288052341638 73710833.1378718
"90" 201225 1 793 1 13 0.000125908214300468 3.70318277354319e-06 0.000328657471151958 73707311.3769113
"91" 201226 1 778 1 13 0.000117483578030796 0 0.00041653268574555 73703820.0960178
"92" 201227 1 771 0 12 0.000100122907255252 6.67486048368348e-06 0.000213595535477871 73700360
"93" 201228 1 749 0 13 8.10001829558436e-05 7.59376715211033e-06 0.00014591944723663 73696931.7470416
"94" 201229 1 695 0 16 5.37448172060797e-05 0 0.000107489634412159 73693535.8088265
"95" 201230 1 698 0 11 7.3144887890455e-05 0 7.3144887890455e-05 73690172.6104138
"96" 201231 1 705 2 5 6.4129464697582e-05 1.00202288589972e-06 9.22696074099324e-05 73686842.5768624
"97" 201232 1 688 2 10 6.07324334164079e-05 9.95613662564064e-07 6.68720510022196e-05 73683546.1332314
"98" 201233 1 726 0 9 8.19685823917577e-05 6.30527556859675e-06 7.89818729118961e-05 73680283.7045798
"99" 201234 1 719 1 16 9.74044560649709e-05 8.11703800541424e-06 6.71500416811542e-05 73677055.7159666
"100" 201235 1 690 0 20 5.66048819184131e-05 0 5.66048819184131e-05 73673862.5924508
"101" 201236 1 681 0 19 7.23593383958789e-05 2.19270722411754e-06 0.000116487571281244 73670704.7590914
"102" 201237 1 753 0 17 4.69180145477716e-05 0 0.000136488769593517 73667582.6409474
"103" 201238 1 723 1 18 6.93632876332716e-05 8.25753424205614e-06 0.000147071030921674 73664496.6630779
"104" 201239 1 682 1 9 5.20610101228259e-05 9.11067677149452e-06 0.000167202610844476 73661447.2505419
"105" 201240 1 685 0 14 5.12127669571698e-05 7.09099850176197e-06 0.000139281217485226 73658434.8283983
"106" 201241 1 680 1 12 9.06842725111844e-05 8.77589733979204e-06 0.000195711947126115 73655459.8217063
"107" 201242 1 740 1 27 0.000166433697066902 4.05935846504638e-06 0.000229390656533894 73652522.6555247
